name,gm_rate,zoodex_rating,zoodex_review,gm_review,Zoodex CSAT,GM CSAT,Zoodex Normalized CSAT,GM Normalized CSAT,Final CSAT,Cluster,Class
نان داغ کباب داغ ریحون,0.0,0.76,0.07246376811594203,0.0,0.2787246376811594,0.0,0.2965155720012334,0.0,0.12206453578410216,2,D
رستوران سالم,0.0,0.0,0.025362318840579712,0.0,0.017753623188405798,0.0,0.018886833179155103,0.0,0.007775013328594278,0,E
Behnoosh sandwich,0.0,0.86,0.16666666666666666,0.0,0.37466666666666665,0.0,0.3985815602836879,0.0,0.1640813425067912,2,D
Golha Restaurant,0.7200000000000001,0.86,0.16666666666666666,0.18811881188118812,0.37466666666666665,0.34768316831683166,0.3985815602836879,0.36752977623343724,0.519364480559356,1,B
Grilled lamb Sofia,0.8800000000000001,0.86,0.16666666666666666,0.13861386138613863,0.37466666666666665,0.361029702970297,0.3985815602836879,0.3816381638163816,0.5330027557072902,1,B
کافه آمارو,0.9800000000000001,0.86,0.16666666666666666,0.1188118811881188,0.37466666666666665,0.37716831683168317,0.3985815602836879,0.3986980093358173,0.5494941418283086,1,B
جعبه سوخاری,0.0,0.0,0.014492753623188406,0.0,0.010144927536231883,0.0,0.010792476102374344,0.0,0.004442864759196729,0,E
Shahrzad Restaurant,0.0,0.82,0.5688405797101449,0.0,0.6441884057971013,0.0,0.6853068146777673,0.0,0.28211556525933634,3,C
رستوران تهچین,0.8,0.76,0.25,0.04950495049504951,0.40299999999999997,0.2746534653465346,0.42872340425531913,0.290331358717267,0.4571467155855193,1,B
نشاط فود سنتر,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
ice cream n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Khaghani Traditional Restaurant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران سنتی شمعدونی,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Gym food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
باباطاهر,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Lux Talaei Restaurant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Tavakol Traditional Restaurant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Nozhan Fast Food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Baharestan Restaurant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران کیافود,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Fastfood Piano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
اغذیه بهروز,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
پیتزا جردن رفسنجان,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Karen Restaurant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Zireh Pizza & Crispy chicken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
تالار تشریفات کاخ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Koohsar Restaurant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
سوخاری مستر چیکو (Mr. Chiko),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
ساندویچ فلافل ناخدا ابوعلی,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
پیتزا رز,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
فست فود مکس,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
صبحانه و کبابی باباعباس,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Cafe fastfood plaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Venus pizza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
کافه رستوران تالارمهر,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
کلبه بانو,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران ما,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
سوخاری کیلویی قارچ ویچ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
سفرخانه‌سنتی‌ ️امام‌رضا ️,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران سنتی سیمرغ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
فلافل سرای محمد امین,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
رستوران دیزی بار,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
کافه رستوران سی متری(۳۰ متری),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
پیتزا ساندویچ آریانا,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
فست فود کاکتوس,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Konj Golestan Amin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Green Moon Restaurant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
Ajdar Zapata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
کباب سرای مادر,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,E
